concept_id,concept_name,standard_concept,standard_concept_caption,invalid_reason,invalid_reason_caption,concept_code,domain_id,vocabulary_id,concept_class_id,valid_start_date,valid_end_date
21128427,0.45 ML Sodium Chloride 50 MG/ML Ophthalmic Solution,S,Standard,V,Valid,OMOP286453,Drug,RxNorm Extension,Quant Clinical Drug,1503547200000,4102376400000
21148163,0.45 ML Sodium Chloride 50 MG/ML Ophthalmic Solution Box of 20,S,Standard,V,Valid,OMOP286454,Drug,RxNorm Extension,Quant Clinical Box,1503547200000,4102376400000
21040195,0.45 ML Sodium Chloride 50 MG/ML Ophthalmic Solution [NaCl],S,Standard,V,Valid,OMOP286455,Drug,RxNorm Extension,Quant Branded Drug,1503547200000,4102376400000
21118657,0.45 ML Sodium Chloride 50 MG/ML Ophthalmic Solution [NaCl] Box of 20,S,Standard,V,Valid,OMOP286456,Drug,RxNorm Extension,Quant Branded Box,1503547200000,4102376400000
21128428,0.45 ML Sodium Chloride 50 MG/ML Ophthalmic Solution [NaCl] Box of 20 by Essential,S,Standard,V,Valid,OMOP286457,Drug,RxNorm Extension,Marketed Product,1503547200000,4102376400000
42481189,0.45 ML Sodium Chloride 50 MG/ML Ophthalmic Solution [NaCl] by Essential,S,Standard,V,Valid,OMOP416675,Drug,RxNorm Extension,Marketed Product,1503547200000,4102376400000
43186884,0.4 ML Sodium Chloride 14 MG/ML Ophthalmic Solution,S,Standard,V,Valid,OMOP506571,Drug,RxNorm Extension,Quant Clinical Drug,1503547200000,4102376400000
43197923,0.4 ML Sodium Chloride 14 MG/ML Ophthalmic Solution Box of 20,S,Standard,V,Valid,OMOP506572,Drug,RxNorm Extension,Quant Clinical Box,1503547200000,4102376400000
43142811,0.4 ML Sodium Chloride 14 MG/ML Ophthalmic Solution [LARMES ARTIFICIELLES MARTINET],S,Standard,V,Valid,OMOP506573,Drug,RxNorm Extension,Quant Branded Drug,1503547200000,4102376400000
43153955,0.4 ML Sodium Chloride 14 MG/ML Ophthalmic Solution [LARMES ARTIFICIELLES MARTINET] Box of 20,S,Standard,V,Valid,OMOP506574,Drug,RxNorm Extension,Quant Branded Box,1503547200000,4102376400000
43164960,0.4 ML Sodium Chloride 14 MG/ML Ophthalmic Solution [LARMES ARTIFICIELLES MARTINET] Box of 20 by Teofarma,S,Standard,V,Valid,OMOP506575,Drug,RxNorm Extension,Marketed Product,1503547200000,4102376400000
36052394,0.5 ML sodium chloride 50 MG/ML Ophthalmic Solution,S,Standard,V,Valid,OMOP4977470,Drug,RxNorm Extension,Quant Clinical Drug,1597636800000,4102376400000
36052393,0.5 ML sodium chloride 50 MG/ML Ophthalmic Solution Box of 20,S,Standard,V,Valid,OMOP4977469,Drug,RxNorm Extension,Quant Clinical Box,1597636800000,4102376400000
36052399,0.5 ML sodium chloride 50 MG/ML Ophthalmic Solution [SodiEye],S,Standard,V,Valid,OMOP4977474,Drug,RxNorm Extension,Quant Branded Drug,1597636800000,4102376400000
36052397,0.5 ML sodium chloride 50 MG/ML Ophthalmic Solution [SodiEye] Box of 20,S,Standard,V,Valid,OMOP4977472,Drug,RxNorm Extension,Quant Branded Box,1597636800000,4102376400000
36052396,0.5 ML sodium chloride 50 MG/ML Ophthalmic Solution [SodiEye] Box of 20 by TriOn,S,Standard,V,Valid,OMOP4977471,Drug,RxNorm Extension,Marketed Product,1597636800000,4102376400000
36052398,0.5 ML sodium chloride 50 MG/ML Ophthalmic Solution [SodiEye] by TriOn,S,Standard,V,Valid,OMOP4977473,Drug,RxNorm Extension,Marketed Product,1597636800000,4102376400000
